"the_geom","OBJECTID","CATEGORY","NAME","ADDRESS","CITY","ZIPCODE","PHONE","URL","POINT_X","POINT_Y","LATITUDE","LONGITUDE","INFO"
"POINT (-77.027116721124 39.150442271162)","22","FIRE STATION","Station  4 - Sandy Spring","17921 Brooke Rd","Sandy Spring","20860","240-773-4704","http://www.montgomerycountymd.gov/mcfrs/","1,304,643.87498801","540,374.8749696","39.15043439","-77.02711444","4"
"POINT (-77.150770132263 39.087626786093)","36","FIRE STATION","Station  3 - Rockville","380 Hungerford Dr","Rockville","20850","240-773-4703","http://www.montgomerycountymd.gov/mcfrs/","1,269,538.87501931","517,530.68755632","39.08761892","-77.15076782","3"
"POINT (-77.069221434534 39.134049634846)","33","FIRE STATION","Station 40 - Sandy Spring","16911 Georgia Ave","Olney","20832","240-773-4740","http://www.montgomerycountymd.gov/mcfrs/","1,292,698.75011288","534,410.68757205","39.13404176","-77.06921915","40"
"POINT (-77.263246590757 39.185107230137)","31","FIRE STATION","Station 29 - Germantown","20001 Crystal Rock Dr","Germantown","20874","240-773-4729","http://www.montgomerycountymd.gov/mcfrs/","1,237,715.62506967","553,106.99990946","39.18509935","-77.26324424","29"
"POINT (-77.31465822317 39.280226627083)","29","FIRE STATION","Station  9 - Hyattstown","25801 Frederick Rd","Clarksburg","20871","240-773-4709","http://www.montgomerycountymd.gov/mcfrs/","1,223,262.25008021","587,797.93754177","39.28021873","-77.31465585","9"
"POINT (-77.16388954358 38.99487854127)","21","FIRE STATION","Station 10 - Cabin John","8001 River Road","Bethesda","20817","240-773-4710","http://www.montgomerycountymd.gov/mcfrs/","1,265,754.37504779","483,757.40624487","38.9948707","-77.16388723","10"
"POINT (-77.051586876818 39.046755878057)","27","FIRE STATION","Station R2 - Wheaton Rescue","2400 Arcola Ave","Wheaton","20902","240-773-4742","http://www.montgomerycountymd.gov/mcfrs/","1,297,682.97130152","502,613.84479043","39.04674802","-77.0515846","R2"
"POINT (-77.076206936444 39.030020568164)","4","FIRE STATION","Station  5 - Kensington","10620 Connecticut Ave","Kensington","20895","240-773-4705","http://www.montgomerycountymd.gov/mcfrs/","1,290,685.62499101","496,523.59377676","39.03001271","-77.07620465","5"
"POINT (-77.027068194151 38.990852431704)","23","FIRE STATION","Station  1 - Silver Spring","8110 Georgia Ave","Silver Spring","20910","240-773-4701","http://www.montgomerycountymd.gov/mcfrs/","1,304,640.401068","482,250.40387547","38.99084458","-77.02706593","1"
"POINT (-77.091134472966 38.976772238634)","12","FIRE STATION","Station  6 - Bethesda","6600 Wisconsin Ave","Bethesda","20815","240-773-4706","http://www.montgomerycountymd.gov/mcfrs/","1,286,425.74991504","477,134.1250867","38.9767644","-77.09113219","6"
"POINT (-77.250516787672 39.116140738343)","34","FIRE STATION","Station 31 - Rockville","12100 Darnestown Rd","North Potomac","20878","240-773-4731","http://www.montgomerycountymd.gov/mcfrs/","1,241,254.99992097","527,978.06241405","39.11613287","-77.25051444","31"
"POINT (-77.141744685206 39.207095051712)","30","FIRE STATION","Station 17 - Laytonsville","21400 Laytonsville Rd","Laytonsville","20882","240-773-4717","http://www.montgomerycountymd.gov/mcfrs/","1,272,168.24999776","561,039.06238085","39.20708716","-77.14174237","17"
"POINT (-76.951430016132 39.085101351939)","18","FIRE STATION","Station 15 - Burtonsville","13900 Old Columbia Pike","Burtonsville","20866","240-773-4715","http://www.montgomerycountymd.gov/mcfrs/","1,326,120.75001601","516,579.21875544","39.08509348","-76.95142777","15"
"POINT (-77.04216986183 39.009071956103)","8","FIRE STATION","Station 19 - Silver Spring","1945 Seminary Rd","Silver Spring","20910","240-773-4719","http://www.montgomerycountymd.gov/mcfrs/","1,300,351.12490401","488,887.68746565","39.0090641","-77.04216759","19"
"POINT (-77.076674151816 38.990706197011)","17","FIRE STATION","Station  7 - Chevy Chase","8001 Connecticut Ave","Chevy Chase","20815","240-773-4707","http://www.montgomerycountymd.gov/mcfrs/","1,290,540.87491087","482,205.15613143","38.99069835","-77.07667187","7"
"POINT (-77.137647482955 39.021091897615)","11","FIRE STATION","Station 26 - Bethesda","6700 Democracy Blvd","Bethesda","20817","240-773-4726","http://www.montgomerycountymd.gov/mcfrs/","1,273,227.11028675","493,292.15006175","39.02108405","-77.13764518","26"
"POINT (-77.209477429587 39.15511576488)","19","FIRE STATION","Station  8 - Gaithersburg","801 Russell Ave","Gaithersburg","20879","240-773-4708","http://www.montgomerycountymd.gov/mcfrs/","1,252,931.62508385","542,144.06255525","39.15510789","-77.2094751","8"
"POINT (-77.110091670444 39.004114076419)","14","FIRE STATION","Station 20 - Bethesda","9041 Old Georgetown Rd","Bethesda","20814","240-773-4720","http://www.montgomerycountymd.gov/mcfrs/","1,281,048.50011803","487,098.09386398","39.00410623","-77.11008938","20"
"POINT (-77.092622042258 39.061391273696)","1","FIRE STATION","Station 21 - Kensington","12500 Viers Mill Rd","Rockville","20853","240-773-4721","http://www.montgomerycountymd.gov/mcfrs/","1,286,034.12495467","507,953.40626741","39.06138341","-77.09261975","21"
"POINT (-77.14693756788 39.148015612954)","20","FIRE STATION","Station 28 - Gaithersburg","7272 Muncaster Mill Rd","Derwood","20855","240-773-4728","http://www.montgomerycountymd.gov/mcfrs/","1,270,662.12494036","539,523.43740081","39.14800774","-77.14693525","28"
"POINT (-77.177944660457 39.176004684992)","38","FIRE STATION","Station 27 - Public Safety Training Academy","8751 Snouffer School Rd","Gaithersburg","20879","240-773-8200","http://www.montgomerycountymd.gov/mcfrs/",,,,,"27"
"POINT (-77.220153862254 39.01016042642)","7","FIRE STATION","Station 30 - Cabin John","9404 Falls Road","Potomac","20854","240-773-4730","http://www.montgomerycountymd.gov/mcfrs/","1,249,776.74994491","489,356.78135409","39.01015258","-77.22015153","30"
"POINT (-77.197014170132 39.094032379513)","26","FIRE STATION","Station 32 - Travilah","9615 Darnestown Rd","Rockville","20850","240-773-4732","http://www.montgomerycountymd.gov/mcfrs/","1,256,417.86227109","519,888.68743052","39.09402452","-77.19701184","32"
"POINT (-76.983277548213 39.030209011227)","5","FIRE STATION","Station 12 - Hillandale","10617 New Hampshire Ave","Silver Spring","20903","240-773-4712","http://www.montgomerycountymd.gov/mcfrs/","1,317,084.37496759","496,583.62500882","39.03020115","-76.98327529","12"
"POINT (-77.28120669052 39.232618339814)","24","FIRE STATION","Station 35 - Clarksburg","22610 Gateway Center Dr Suite 300","Clarksburg","20871","240-773-4735","http://www.montgomerycountymd.gov/mcfrs/","1,232,678.08036098","570,426.79410159","39.23261045","-77.28120433","35"
"POINT (-77.120880760285 38.962914398337)","16","FIRE STATION","Station 11 - Glen Echo","5920 Massachusetts Ave","Bethesda","20816","240-773-4711","http://www.montgomerycountymd.gov/mcfrs/","1,277,962.62491516","472,096.87503401","38.96290656","-77.12087847","11"
"POINT (-77.050727040517 39.056132766745)","3","FIRE STATION","Station 18 - Kensington","12210 Georgia Ave","Wheaton","20902","240-773-4718","http://www.montgomerycountymd.gov/mcfrs/","1,297,946.77187777","506,204.00210578","39.05660581","-77.05066276","18"
